source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
8194,101010057,4700,OLD R.R.1823,87,10101146,38865.5300,0.0000,0.0000,0.0000,True,,2003-11-16,2004-03-31,2022-10-21 00:00:00
8194,101010057,4700,OLD R.R.1823,86,10101146,45205.8500,0.0000,0.0000,0.0000,True,,1873-01-01,2003-11-15,2022-10-21 00:00:00
8195,101010058,4701,OLD RR 2023,96,10101201,5575.4800,0.5000,0.0000,2787.7400,True,,2004-04-01,,2022-10-21 00:00:00
8195,101010058,4701,OLD RR 2023,95,10101201,5575.4800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8187,101030002,4694,P.T.LAND S.NO.83 AT AMBAPADA,178,10103126,23500.0000,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3099,101040001,493,LEASE OF P.T.LAND,184,10104103,3609.0900,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8396,101040001,6069,LEASE OF P.T.LAND,4486,10104106,11904.3300,0.0000,0.0000,0.0000,True,,2024-06-26,,2026-04-21 00:00:00
8189,101040003,4696,LEASE OF LAND,183,10104102,7150.2300,0.2500,0.0000,1787.5600,True,,2004-04-01,,2022-10-21 00:00:00
8189,101040003,4696,LEASE OF LAND,182,10104102,7150.2300,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3101,101050001,4174,1,278,10105116,2457.1000,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3102,101050002,495,6,265,10105109,1326.6600,2.7100,0.0000,3595.2500,True,,2004-04-01,,2022-10-21 00:00:00
3102,101050002,495,6,264,10105109,1326.6600,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3104,101050004,4175,9,297,10105129,242.4800,0.6300,0.0000,152.7600,True,,2004-11-01,,2022-10-21 00:00:00
3104,101050004,4175,9,296,10105129,242.4800,0.6300,0.0000,143.0600,True,,2004-04-01,2004-10-31,2022-10-21 00:00:00
3104,101050004,4175,9,295,10105129,242.4800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3107,101050007,499,31,332,10105203,1515.8100,0.5800,224.1800,650.1900,True,,2006-06-01,,2022-10-21 00:00:00
3107,101050007,499,31,331,10105203,1515.8100,0.0000,224.1100,650.1900,True,,2005-08-01,2006-05-31,2022-10-21 00:00:00
3107,101050007,499,31,330,10105203,1515.8100,0.0000,181.8100,634.6700,True,,2004-04-01,2005-07-31,2022-10-21 00:00:00
3107,101050007,499,31,329,10105203,1515.8100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
