"plot_id","plot_code","rr_no","street_no","main_structure_name","location","plot_area_sqm","let_out_id","let_out_name","tenancy_id","unit_id","agreement_start_date","agreement_end_date","long_lease_years","letout_area_sqm","consumed_fsi","proposed_use","lease_start_date","lease_end_date"
3288,"103010041",JETHA F 105,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),227.43,769,JETHA F 105,"10301530",3,,,,227.4300,1.0900,"","1997-05-09",""
3288,"103010041",JETHA F 105,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),227.43,769,JETHA F 105,"20801511",8,,,,,,"","1968-06-22",""
3288,"103010041",JETHA F 105,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),227.43,5018,JETHA F 105,"10301530",3,,,,,,"","1997-05-09",""
3289,"103010042","JETHA F 73,79,80,& 86 TO 104",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),9529.76,770,"JETHA F 73,79,80,& 86 TO 104","10301102",3,,,,9529.7600,0.5200,Any lawful user as may be permitted by MCGM in conformity with the DC regulations.,"1952-03-24",""
3289,"103010042","JETHA F 73,79,80,& 86 TO 104",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),9529.76,770,"JETHA F 73,79,80,& 86 TO 104","10301102",3,,,,9529.7600,0.0000,Any lawful user as may be permitted by MCGM in conformity with the DC regulations.,"1952-03-24",""
3289,"103010042","JETHA F 73,79,80,& 86 TO 104",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),9529.76,770,"JETHA F 73,79,80,& 86 TO 104","20801511",8,,,,,,"","1968-06-22",""
3290,"103010043",JETHA PLINTHS A F G&B BLOCK,,,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),18911.34,771,JETHA PLINTHS A F G&B BLOCK,"20801549",8,,,,,,storage of non-hazardous goods & office in connection therewith,"1960-06-01",""
3291,"103010044","LEASE JETHAS G 125,126,128&129",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),1564.20,772,"LEASE JETHAS G 125,126,128&129","20801608",8,,,,,,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1960-11-01",""
3297,"103010048",OLD ARP B 10,,OPEN PLOT,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),316.00,776,OLD ARP B 10,"10301514",3,,,,316.0000,0.0000,"","1980-08-02",""
3297,"103010048",OLD ARP B 10,,OPEN PLOT,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),316.00,776,OLD ARP B 10,"20801623",8,,,,,,"Residence, Office and Garage","1961-01-01",""
3303,"103010054",OLD R R NO.1015,,MbPT STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),32.98,782,OLD R R NO.1015,"10301431",3,,,,32.9800,0.0000,"","1960-07-01",""
3303,"103010054",OLD R R NO.1015,,MbPT STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),32.98,782,OLD R R NO.1015,"10301431",3,,,,32.9800,0.0000,"","1960-07-01",""
3303,"103010054",OLD R R NO.1015,,MbPT STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),32.98,782,OLD R R NO.1015,"10301431",3,,,,32.9800,1.0000,"","1960-07-01",""
3303,"103010054",OLD R R NO.1015,,MbPT STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),32.98,782,OLD R R NO.1015,"20801644",8,,,,,,"","1985-02-05",""
3355,"103010106",WEST PORN OF SHED TW-2(HALF PN,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),6553.00,4359,WEST PORN OF SHED TW-2(HALF PN,,,,,,,,,,
3355,"103010106",WEST PORN OF SHED TW-2(HALF PN,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),6553.00,5431,WEST PORN OF SHED TW-2(HALF PN,,,,,,,,,,
3355,"103010106",WEST PORN OF SHED TW-2(HALF PN,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),6553.00,5432,WEST PORN OF SHED TW-2(HALF PN,,,,,,,,,,
8055,"103010108",GODOWN NO. E 52, , , ,417.23,4562,GODOWN NO. E 52,,,,,,,,,,
8056,"103010109",NORTH OF GDN.NO.J-154 PLOT NO3, , , ,91.97,4563,NORTH OF GDN.NO.J-154 PLOT NO3,,,,,,,,,,
8057,"103010110",PART-OF JETHA  B-29, , , ,150.50,4564,PART-OF JETHA  B-29,,,,,,,,,,
8057,"103010110",PART-OF JETHA  B-29, , , ,150.50,5457,PART-OF JETHA  B-29,,,,,,,,,,
8058,"103010111",OPEN JETHA D-45, , , ,227.43,4565,OPEN JETHA D-45,,,,,,,,,,
